id;m_id;vehicle_id;time;arrival;departure;lon;lat;speed;distance;distint;stop;bus_stop;stop_id;stop_order;stop_time
1;15088;33192;17:31:06;17:31:06;17:31:06;-6,30651700000;53,40383100000;0,00000;0;0;-1;1;7132;0;0:00:00
2;15088;33192;17:32:07;17:32:07;17:32:07;-6,29788300000;53,40189700000;58,06265;0,983839282;0,983839282;0;0;7132;;0:00:00
3;15088;33192;17:32:26;17:32:26;17:32:26;-6,29647600000;53,40110800000;33,98573;1,163208397;0,179369116;0;0;6230;;0:00:00
4;15088;33192;17:32:46;17:32:46;17:32:46;-6,29343800000;53,39994400000;65,11503;1,524958548;0,361750151;0;0;6230;;0:00:00
5;15088;33192;17:33:06;17:33:06;17:33:06;-6,29069200000;53,39901400000;58,02643;1,847327587;0,322369039;0;0;6228;;0:00:00
6;15088;33192;17:33:27;17:33:27;17:33:27;-6,29191300000;53,39757900000;35,91529;2,056833432;0,209505845;0;0;6228;;0:00:00
7;15088;33192;17:33:47;17:33:47;17:33:47;-6,29328000000;53,39651100000;34,71983;2,249721372;0,19288794;0;0;4788;;0:00:00
8;15088;33192;17:34:06;17:34:06;17:34:06;-6,29183000000;53,39559900000;36,08802;2,440185932;0,19046456;0;0;4788;;0:00:00
9;15088;33192;17:34:26;17:34:26;17:34:26;-6,29008200000;53,39484400000;38,10811;2,651897672;0,21171174;0;0;6273;;0:00:00
10;15088;33192;17:34:47;17:34:47;17:34:47;-6,28979700000;53,39453100000;8,06891;2,698966306;0,047068635;0;0;6273;;0:00:00
11;15088;33192;17:35:05;17:35:05;17:35:05;-6,29088900000;53,39370300000;30,47510;2,851341811;0,152375505;0;0;136;;0:00:00
12;15088;33192;17:35:25;17:35:25;17:35:25;-6,29151700000;53,39322700000;15,77116;2,938959388;0,087617576;0;0;136;;0:00:00
13;15088;33192;17:35:46;17:35:46;17:35:46;-6,29348800000;53,39172700000;47,21071;3,214355179;0,275395792;0;0;137;;0:00:00
14;15088;33192;17:36:06;17:36:06;17:36:06;-6,29445500000;53,39083100000;26,38404;3,360933192;0,146578013;0;0;193;;0:00:00
15;15088;33192;17:36:27;17:36:27;17:36:27;-6,29377500000;53,39020200000;17,65591;3,463926001;0,102992809;0;0;193;;0:00:00
16;15088;33192;17:36:47;17:36:47;17:36:47;-6,29070500000;53,39005300000;61,50983;3,805647282;0,341721281;0;0;138;;0:00:00
17;15088;33192;17:37:05;17:37:05;17:37:05;-6,28790600000;53,39034300000;62,57131;4,118503839;0,312856557;0;0;138;;0:00:00
18;15088;33192;17:37:26;17:37:15;17:37:56;-6,28703500000;53,39011400000;0,00000;4,218632799;0,100128961;1;1;167;1;0:00:41
