type;id;time;arrival;departure;latitude;longitude;altitude;speed;distance;distance_interval;name;stop;stop id;stop time
T;612;15:08:42;15:08:42;15:08:42;51,053751;13,728568;92;11,4;3427,3;6,4;MJ;0;;0:00:00
T;613;15:08:44;15:08:44;15:08:44;51,053768;13,728659;92;11,9;3433,9;6,6;MJ;0;;0:00:00
T;614;15:08:46;15:08:46;15:08:46;51,053783;13,728764;92;13,5;3441,5;7,6;MJ;0;;0:00:00
T;615;15:08:48;15:08:48;15:08:48;51,053788;13,728854;92;11,4;3447,8;6,3;MJ;0;;0:00:00
T;616;15:08:50;15:08:50;15:08:50;51,053787;13,728913;92;7,4;3452;4,2;MJ;0;;0:00:00
T;617;15:08:52;15:08:52;15:08:52;51,053786;13,72893;92;2,1;3453,2;1,2;MJ;0;;0:00:00
T;618;15:08:56;15:08:56;15:08:56;51,053778;13,728944;92;1,2;3454,5;1,3;MJ;0;;0:00:00
T;619;15:08:58;15:08:58;15:08:58;51,053761;13,728984;92;6,1;3457,9;3,4;MJ;0;;0:00:00
T;620;15:09:00;15:09:00;15:09:00;51,053723;13,729049;92;11,2;3464,1;6,2;MJ;0;;0:00:00
T;621;15:09:02;15:09:02;15:09:02;51,053672;13,729122;92;13,7;3471,7;7,6;MJ;0;;0:00:00
T;622;15:09:04;15:09:04;15:09:04;51,053625;13,729179;92;11,8;3478,3;6,6;MJ;0;;0:00:00
T;623;15:09:06;15:09:06;15:09:06;51,053591;13,729223;92;8,8;3483,2;4,9;MJ;0;;0:00:00
T;624;15:09:08;15:09:08;15:09:08;51,053527;13,729272;92;14,2;3491,1;7,9;MJ;0;;0:00:00
T;625;15:09:10;15:09:10;15:09:10;51,053437;13,729322;92;19,1;3501,7;10,6;MJ;0;;0:00:00
T;626;15:09:12;15:09:12;15:09:12;51,053341;13,729369;92;20,1;3512,9;11,2;MJ;0;;0:00:00
T;627;15:09:14;15:09:14;15:09:14;51,053253;13,72943;92;19,2;3523,6;10,7;MJ;0;;0:00:00
T;628;15:09:16;15:09:16;15:09:16;51,053181;13,729489;92;16,2;3532,6;9;MJ;0;;0:00:00
T;629;15:09:18;15:09:18;15:09:18;51,05311;13,729533;92;15,3;3541,1;8,5;MJ;0;;0:00:00
T;630;15:09:20;15:09:20;15:09:20;51,053041;13,729564;92;14,4;3549;7,9;MJ;0;;0:00:00
T;631;15:09:22;15:09:22;15:09:22;51,052983;13,729599;92;12,4;3555,9;6,9;MJ;0;;0:00:00
T;632;15:09:24;15:09:24;15:09:24;51,052933;13,729659;92;12,5;3562,9;7;MJ;0;;0:00:00
T;633;15:09:26;15:09:26;15:09:26;51,052904;13,729749;92;12,7;3570;7,1;MJ;0;;0:00:00
T;634;15:09:28;15:09:28;15:09:28;51,052913;13,729848;92;12,6;3577;7;MJ;0;;0:00:00
T;635;15:09:30;15:09:30;15:09:30;51,05295;13,729948;92;14,6;3585,1;8,1;MJ;0;;0:00:00
T;636;15:09:32;15:09:32;15:09:32;51,052995;13,730061;92;16,8;3594,5;9,4;MJ;0;;0:00:00
T;637;15:09:34;15:09:34;15:09:34;51,053043;13,73016;92;15,7;3603,3;8,8;MJ;0;;0:00:00
T;638;15:09:36;15:09:36;15:09:36;51,053095;13,730262;92;16,5;3612,5;9,2;MJ;0;;0:00:00
T;639;15:09:38;15:09:38;15:09:38;51,053141;13,730374;92;16,8;3621,8;9,3;MJ;0;;0:00:00
T;640;15:09:40;15:09:40;15:09:40;51,053176;13,730473;92;14,3;3629,8;8;MJ;0;;0:00:00
T;641;15:09:42;15:09:42;15:09:42;51,053211;13,730565;92;13,5;3637,3;7,5;MJ;0;;0:00:00
T;642;15:09:44;15:09:44;15:09:44;51,053247;13,730669;92;14,9;3645,7;8,4;MJ;0;;0:00:00
T;643;15:09:46;15:09:46;15:09:46;51,053293;13,730757;92;14,4;3653,7;8;MJ;0;;0:00:00
T;644;15:09:48;15:09:48;15:09:48;51,053341;13,730848;92;14,9;3662;8,3;MJ;0;;0:00:00
T;645;15:09:50;15:09:50;15:09:50;51,053378;13,730947;92;14,5;3670,1;8,1;MJ;0;;0:00:00
T;646;15:09:51;15:09:51;15:09:51;51,05341;13,731033;92;25,1;3677,1;7;MJ;0;;0:00:00
T;647;15:09:54;15:09:54;15:09:54;51,053453;13,73111;92;8,6;3684,3;7,2;MJ;0;;0:00:00
T;648;15:09:56;15:09:56;15:09:56;51,053509;13,731154;92;12,5;3691,2;6,9;MJ;0;;0:00:00
T;649;15:09:58;15:09:58;15:09:58;51,053559;13,731189;92;10,9;3697,3;6,1;MJ;0;;0:00:00
T;650;15:10:00;15:10:00;15:10:00;51,053609;13,731205;92;10,2;3703;5,7;MJ;0;;0:00:00
T;651;15:10:02;15:10:02;15:10:02;51,05366;13,731213;92;10,3;3708,7;5,7;MJ;0;;0:00:00
T;652;15:10:04;15:10:04;15:10:04;51,05373;13,731237;92;14,3;3716,7;8;MJ;0;;0:00:00
T;653;15:10:06;15:10:06;15:10:06;51,05379;13,731271;92;12,7;3723,7;7;MJ;0;;0:00:00
T;654;15:10:08;15:10:08;15:10:08;51,053839;13,731263;92;9,9;3729,2;5,5;MJ;0;;0:00:00
T;655;15:10:10;15:10:10;15:10:10;51,053892;13,731247;92;10,8;3735,2;6;MJ;0;;0:00:00
T;656;15:10:12;15:10:12;15:10:12;51,053934;13,731231;92;8,6;3740;4,8;MJ;0;;0:00:00
T;657;15:10:14;15:10:14;15:10:14;51,053969;13,731213;92;7,4;3744,1;4,1;MJ;0;;0:00:00
T;658;15:10:15;15:10:15;15:10:15;51,05399;13,731185;92;11;3747,2;3,1;MJ;0;;0:00:00
T;659;15:10:18;15:10:18;15:10:18;51,054017;13,731171;92;3,8;3750,3;3,1;MJ;0;;0:00:00
T;660;15:10:20;15:10:20;15:10:20;51,054028;13,731148;92;3,6;3752,4;2,1;MJ;0;;0:00:00
T;661;15:10:22;15:10:22;15:10:22;51,054044;13,731128;92;4,1;3754,6;2,2;MJ;0;;0:00:00
T;662;15:10:24;15:10:24;15:10:24;51,054066;13,731129;92;4,4;3757,1;2,5;MJ;0;;0:00:00
T;663;15:10:28;15:10:28;15:10:28;51,054083;13,731164;92;2,8;3760,2;3,1;MJ;0;;0:00:00
T;664;15:10:30;15:10:30;15:10:30;51,054066;13,731191;92;4,8;3762,8;2,6;MJ;0;;0:00:00
T;665;15:10:32;15:10:32;15:10:32;51,054037;13,731228;92;7,4;3767;4,2;MJ;0;;0:00:00
T;666;15:10:34;15:10:34;15:10:34;51,05399;13,73124;92;9,5;3772,3;5,3;MJ;0;;0:00:00
T;667;15:10:36;15:10:36;15:10:36;51,053938;13,731235;92;10,4;3778,1;5,8;MJ;0;;0:00:00
T;668;15:10:40;15:10:40;15:10:40;51,053955;13,731235;92;1,7;3780;1,9;MJ;0;;0:00:00
T;669;15:10:44;15:10:44;15:10:44;51,053965;13,731248;92;1,3;3781,4;1,4;MJ;0;;0:00:00
T;670;15:10:46;15:10:46;15:10:46;51,05398;13,731256;92;3,2;3783,2;1,8;MJ;0;;0:00:00
T;671;15:10:48;15:10:48;15:10:48;51,054024;13,731209;92;10,6;3789,1;5,9;MJ;0;;0:00:00
T;672;15:10:50;15:10:50;15:10:50;51,054089;13,731186;92;13,3;3796,5;7,4;MJ;0;;0:00:00
T;673;15:10:52;15:10:52;15:10:52;51,054154;13,731205;92;13,2;3803,8;7,3;MJ;0;;0:00:00
T;674;15:10:54;15:10:54;15:10:54;51,054227;13,731238;92;15,2;3812,3;8,5;MJ;0;;0:00:00
T;675;15:10:56;15:10:56;15:10:56;51,054299;13,731262;92;14,7;3820,5;8,2;MJ;0;;0:00:00
T;676;15:10:58;15:10:58;15:10:58;51,054368;13,731308;92;15;3828,8;8,3;MJ;0;;0:00:00
T;677;15:10:59;15:10:59;15:10:59;51,054443;13,731358;92;32,6;3837,8;9;MJ;0;;0:00:00
T;678;15:11:02;15:11:02;15:11:02;51,0545;13,731414;92;8,9;3845,3;7,5;MJ;0;;0:00:00
T;679;15:11:04;15:11:04;15:11:04;51,05454;13,731476;92;11,2;3851,5;6,2;MJ;0;;0:00:00
T;680;15:11:06;15:11:06;15:11:06;51,054575;13,731579;92;14,7;3859,7;8,2;MJ;0;;0:00:00
T;681;15:11:08;15:11:08;15:11:08;51,054615;13,73171;92;18,3;3869,9;10,2;MJ;0;;0:00:00
T;682;15:11:10;15:11:10;15:11:10;51,054658;13,731831;92;17,5;3879,7;9,8;MJ;0;;0:00:00
T;683;15:11:12;15:11:12;15:11:12;51,054694;13,731971;92;19;3890,3;10,6;MJ;0;;0:00:00
T;684;15:11:14;15:11:14;15:11:14;51,054731;13,732117;92;19,8;3901,3;11;MJ;0;;0:00:00
T;685;15:11:16;15:11:16;15:11:16;51,054761;13,732231;92;15,5;3910;8,7;MJ;0;;0:00:00
T;686;15:11:18;15:11:18;15:11:18;51,054774;13,732361;92;16,6;3919,2;9,2;MJ;0;;0:00:00
T;687;15:11:20;15:11:20;15:11:20;51,054787;13,732476;92;14,7;3927,4;8,2;MJ;0;;0:00:00
T;688;15:11:22;15:11:22;15:11:22;51,054805;13,732594;92;15,3;3935,9;8,5;MJ;0;;0:00:00
T;689;15:11:24;15:11:24;15:11:24;51,054824;13,732709;92;15;3944,2;8,3;MJ;0;;0:00:00
T;690;15:11:26;15:11:26;15:11:26;51,054812;13,732836;92;16,2;3953,2;9;MJ;0;;0:00:00
T;691;15:11:28;15:11:28;15:11:28;51,054804;13,732952;92;14,7;3961,4;8,2;MJ;0;;0:00:00
T;692;15:11:30;15:11:30;15:11:30;51,054794;13,733059;92;13,6;3969;7,6;MJ;0;;0:00:00
T;693;15:11:32;15:11:32;15:11:32;51,05478;13,733149;92;11,7;3975,5;6,5;MJ;0;;0:00:00
T;694;15:11:33;15:11:33;15:11:33;51,054746;13,733226;92;23,7;3982,1;6,6;MJ;0;;0:00:00
T;695;15:11:36;15:11:36;15:11:36;51,054708;13,733304;92;8,3;3989;6,9;MJ;0;;0:00:00
T;696;15:11:38;15:11:38;15:11:38;51,054644;13,733362;92;14,7;3997,2;8,2;MJ;0;;0:00:00
T;697;15:11:40;15:11:40;15:11:40;51,054572;13,733416;92;15,9;4006,1;8,9;MJ;0;;0:00:00
T;698;15:11:42;15:11:42;15:11:42;51,054501;13,733454;92;15;4014,4;8,3;MJ;0;;0:00:00
T;699;15:11:44;15:11:44;15:11:44;51,05444;13,733487;92;12,9;4021,6;7,2;MJ;0;;0:00:00
T;700;15:11:46;15:11:46;15:11:46;51,054407;13,733533;92;8,8;4026,5;4,9;MJ;0;;0:00:00
T;701;15:11:48;15:11:48;15:11:48;51,054372;13,73357;92;8,4;4031,1;4,6;MJ;0;;0:00:00
T;702;15:11:50;15:11:50;15:11:50;51,054323;13,73361;92;11;4037,3;6,2;MJ;0;;0:00:00
T;703;15:11:52;15:11:52;15:11:52;51,054291;13,733648;92;8;4041,7;4,4;MJ;0;;0:00:00
T;704;15:11:54;15:11:54;15:11:54;51,054273;13,733676;92;5;4044,5;2,8;MJ;0;;0:00:00
T;705;15:11:56;15:11:56;15:11:56;51,054236;13,733716;92;9;4049,5;5;MJ;0;;0:00:00
T;706;15:11:58;15:11:58;15:11:58;51,054189;13,733756;92;10,7;4055,4;5,9;MJ;0;;0:00:00
T;707;15:11:59;15:11:59;15:11:59;51,054149;13,733775;92;16,7;4060,1;4,7;MJ;0;;0:00:00
T;708;15:12:02;15:12:02;15:12:02;51,054112;13,733781;92;5;4064,2;4,1;MJ;0;;0:00:00
T;709;15:12:08;15:12:08;15:12:08;51,054096;13,733796;92;1,2;4066,3;2,1;MJ;0;;0:00:00
T;710;15:12:14;15:12:14;15:12:14;51,054076;13,733755;96;2,2;4069,9;3,6;MJ;0;;0:00:00
T;711;15:12:16;15:12:16;15:12:16;51,054041;13,733728;96;7,8;4074,3;4,4;MJ;0;;0:00:00
T;712;15:12:18;15:12:18;15:12:18;51,054017;13,733664;97;9,4;4079,5;5,2;MJ;0;;0:00:00
T;713;15:12:20;15:12:20;15:12:20;51,053995;13,733574;97;12,1;4086,2;6,7;MJ;0;;0:00:00
T;714;15:12:22;15:12:22;15:12:22;51,053964;13,733486;98;12,7;4093,3;7,1;MJ;0;;0:00:00
T;715;15:12:24;15:12:24;15:12:24;51,053937;13,733389;98;13,3;4100,7;7,4;MJ;0;;0:00:00
T;716;15:12:26;15:12:26;15:12:26;51,053918;13,733333;98;8;4105,2;4,5;MJ;0;;0:00:00
T;717;15:12:30;15:12:30;15:12:30;51,053941;13,733323;98;2,4;4107,9;2,7;MJ;0;;0:00:00
T;718;15:12:32;15:12:31;15:12:33;51,053957;13,73336;98;5,6;4111;3,1;MJ;1;15;0:00:02
T;719;15:12:34;15:12:34;15:12:34;51,053967;13,733408;98;6,4;4114,5;3,5;MJ;0;;0:00:00
T;720;15:12:36;15:12:36;15:12:36;51,053983;13,733451;98;6,3;4118;3,5;MJ;0;;0:00:00
T;721;15:12:38;15:12:38;15:12:38;51,05401;13,733483;98;6,7;4121,8;3,8;MJ;0;;0:00:00
T;722;15:12:40;15:12:40;15:12:40;51,054028;13,73351;98;5;4124,6;2,8;MJ;0;;0:00:00
T;723;15:12:42;15:12:42;15:12:42;51,054046;13,733542;98;5,4;4127,6;3;MJ;0;;0:00:00
T;724;15:12:44;15:12:44;15:12:44;51,05407;13,733579;98;6,7;4131,3;3,7;MJ;0;;0:00:00
T;725;15:12:46;15:12:46;15:12:46;51,054086;13,733615;98;5,5;4134,4;3,1;MJ;0;;0:00:00
T;726;15:12:48;15:12:48;15:12:48;51,054113;13,733651;98;7;4138,3;3,9;MJ;0;;0:00:00
T;727;15:12:50;15:12:50;15:12:50;51,054143;13,733702;98;8,8;4143,2;4,9;MJ;0;;0:00:00
T;728;15:12:52;15:12:52;15:12:52;51,054164;13,7338;96;13;4150,4;7,2;MJ;0;;0:00:00
T;729;15:12:54;15:12:54;15:12:54;51,054175;13,733939;96;17,6;4160,3;9,9;MJ;0;;0:00:00
T;730;15:12:56;15:12:56;15:12:56;51,054193;13,734066;96;16,4;4169,4;9,1;MJ;0;;0:00:00
T;731;15:12:58;15:12:58;15:12:58;51,054222;13,734183;96;15,8;4178,2;8,8;MJ;0;;0:00:00
T;732;15:13:00;15:13:00;15:13:00;51,054253;13,734316;96;17,8;4188,2;10;MJ;0;;0:00:00
T;733;15:13:02;15:13:02;15:13:02;51,054298;13,734409;93;14,8;4196,4;8,2;MJ;0;;0:00:00
T;734;15:13:04;15:13:04;15:13:04;51,054361;13,734422;93;12,7;4203,4;7;MJ;0;;0:00:00
T;735;15:13:06;15:13:06;15:13:06;51,05442;13,734379;93;13;4210,7;7,3;MJ;0;;0:00:00
T;736;15:13:08;15:13:08;15:13:08;51,054467;13,73432;92;12;4217,3;6,6;MJ;0;;0:00:00
T;737;15:13:10;15:13:10;15:13:10;51,054497;13,734301;92;6,5;4220,9;3,6;MJ;0;;0:00:00
T;738;15:13:14;15:13:14;15:13:14;51,054542;13,734294;91;4,5;4226;5,1;MJ;0;;0:00:00
T;739;15:13:16;15:13:16;15:13:16;51,054604;13,734279;91;12,6;4232,9;6,9;MJ;0;;0:00:00
T;740;15:13:17;15:13:17;15:13:17;51,05467;13,73427;91;26,5;4240,3;7,4;MJ;0;;0:00:00
T;741;15:13:20;15:13:20;15:13:20;51,054726;13,73438;91;11,9;4250,2;9,9;MJ;0;;0:00:00
T;742;15:13:22;15:13:22;15:13:22;51,054776;13,734519;91;20,1;4261,4;11,2;MJ;0;;0:00:00
T;743;15:13:24;15:13:24;15:13:24;51,054818;13,734635;91;16,8;4270,8;9,4;MJ;0;;0:00:00
T;744;15:13:26;15:13:26;15:13:26;51,054855;13,73478;91;19,7;4281,8;11;MJ;0;;0:00:00
T;745;15:13:28;15:13:28;15:13:28;51,054909;13,734915;91;20,1;4293;11,2;MJ;0;;0:00:00
T;746;15:13:30;15:13:30;15:13:30;51,054974;13,735024;91;18,9;4303,5;10,5;MJ;0;;0:00:00
T;747;15:13:32;15:13:32;15:13:32;51,055016;13,735094;90;12,2;4310,3;6,8;MJ;0;;0:00:00
T;748;15:13:34;15:13:34;15:13:34;51,05504;13,735094;90;4,8;4313;2,7;MJ;0;;0:00:00
T;749;15:13:36;15:13:36;15:13:36;51,055069;13,735093;90;5,8;4316,2;3,2;MJ;0;;0:00:00
T;750;15:13:38;15:13:38;15:13:38;51,055092;13,735136;90;7,1;4320,1;3,9;MJ;0;;0:00:00
T;751;15:13:40;15:13:40;15:13:40;51,055116;13,735168;90;6,3;4323,6;3,5;MJ;0;;0:00:00
T;752;15:13:42;15:13:42;15:13:42;51,05516;13,735187;91;9,1;4328,7;5,1;MJ;0;;0:00:00
T;753;15:13:44;15:13:44;15:13:44;51,055211;13,735139;91;11,9;4335,3;6,6;MJ;0;;0:00:00
T;754;15:13:46;15:13:46;15:13:46;51,055268;13,735105;91;12,2;4342,1;6,8;MJ;0;;0:00:00
T;755;15:13:48;15:13:48;15:13:48;51,055316;13,735092;91;9,7;4347,5;5,4;MJ;0;;0:00:00
T;756;15:13:50;15:13:50;15:13:50;51,055354;13,735095;91;7,6;4351,7;4,2;MJ;0;;0:00:00
T;757;15:13:52;15:13:52;15:13:52;51,055381;13,735118;92;6,1;4355,1;3,4;MJ;0;;0:00:00
T;758;15:13:54;15:13:54;15:13:54;51,055404;13,735166;92;7,6;4359,4;4,3;MJ;0;;0:00:00
T;759;15:13:56;15:13:56;15:13:56;51,055446;13,735216;92;10,5;4365,2;5,8;MJ;0;;0:00:00
T;760;15:13:58;15:13:57;15:13:59;51,055478;13,735264;92;8,8;4370,1;4,9;MJ;1;17;0:00:02
T;761;15:13:59;15:13:59;15:13:59;51,055499;13,735302;92;12,7;4373,6;3,5;MJ;0;;0:00:00
T;762;15:14:02;15:14:02;15:14:02;51,055523;13,735324;92;3,7;4376,7;3,1;MJ;0;;0:00:00
T;763;15:14:04;15:14:03;15:14:05;51,055521;13,73531;92;1,8;4377,7;1;MJ;1;16;0:00:02
T;764;15:14:06;15:14:06;15:14:06;51,055543;13,735349;92;6,6;4381,4;3,7;MJ;0;;0:00:00
T;765;15:14:08;15:14:08;15:14:08;51,055581;13,73542;92;11,7;4387,9;6,5;MJ;0;;0:00:00
T;766;15:14:10;15:14:10;15:14:10;51,055625;13,735472;92;11;4394;6,1;MJ;0;;0:00:00
T;767;15:14:12;15:14:12;15:14:12;51,055678;13,73551;92;11,6;4400,5;6,5;MJ;0;;0:00:00
T;768;15:14:13;15:14:13;15:14:13;51,055721;13,73551;92;17,2;4405,3;4,8;MJ;0;;0:00:00
T;769;15:14:16;15:14:16;15:14:16;51,055747;13,735504;92;3,5;4408,2;2,9;MJ;0;;0:00:00
T;770;15:14:18;15:14:18;15:14:18;51,055752;13,735474;92;3,9;4410,4;2,2;MJ;0;;0:00:00
T;771;15:14:20;15:14:20;15:14:20;51,05579;13,735414;92;10,7;4416,4;6;MJ;0;;0:00:00
T;772;15:14:22;15:14:22;15:14:22;51,055857;13,735332;92;16,9;4425,8;9,4;MJ;0;;0:00:00
T;773;15:14:24;15:14:24;15:14:24;51,05592;13,735238;92;17,3;4435,4;9,6;MJ;0;;0:00:00
T;774;15:14:26;15:14:26;15:14:26;51,055982;13,735146;92;17;4444,8;9,4;MJ;0;;0:00:00
T;775;15:14:28;15:14:28;15:14:28;51,05605;13,735064;92;17,1;4454,3;9,5;MJ;0;;0:00:00
T;776;15:14:30;15:14:30;15:14:30;51,056093;13,734998;92;12;4461;6,7;MJ;0;;0:00:00
T;777;15:14:32;15:14:32;15:14:32;51,056142;13,734928;92;13,2;4468,3;7,3;MJ;0;;0:00:00
T;778;15:14:33;15:14:33;15:14:33;51,056168;13,734846;92;23,1;4474,8;6,5;MJ;0;;0:00:00
T;779;15:14:36;15:14:36;15:14:36;51,056168;13,734726;92;10,1;4483,2;8,4;MJ;0;;0:00:00
T;780;15:14:38;15:14:38;15:14:38;51,056172;13,734612;92;14,4;4491,2;8;MJ;0;;0:00:00
T;781;15:14:40;15:14:40;15:14:40;51,056176;13,734494;92;14,9;4499,5;8,3;MJ;0;;0:00:00
T;782;15:14:42;15:14:42;15:14:42;51,056168;13,734374;92;15,2;4507,9;8,4;MJ;0;;0:00:00
T;783;15:14:44;15:14:44;15:14:44;51,056161;13,734244;92;16,4;4517,1;9,2;MJ;0;;0:00:00
T;784;15:14:46;15:14:46;15:14:46;51,056166;13,73415;92;11,9;4523,7;6,6;MJ;0;;0:00:00
T;785;15:14:48;15:14:48;15:14:48;51,056166;13,734074;92;9,6;4529;5,3;MJ;0;;0:00:00
T;786;15:14:50;15:14:50;15:14:50;51,056174;13,73398;92;11,9;4535,7;6,7;MJ;0;;0:00:00
T;787;15:14:52;15:14:52;15:14:52;51,056196;13,733928;91;7,9;4540,1;4,4;MJ;0;;0:00:00
T;788;15:14:54;15:14:54;15:14:54;51,056213;13,733898;91;5,1;4542,9;2,8;MJ;0;;0:00:00
T;789;15:14:56;15:14:56;15:14:56;51,056222;13,733858;91;5,3;4545,9;3;MJ;0;;0:00:00
T;790;15:14:58;15:14:58;15:14:58;51,056212;13,733818;91;5,4;4548,9;3;MJ;0;;0:00:00
T;791;15:15:00;15:15:00;15:15:00;51,056204;13,733808;91;2;4550;1,1;MJ;0;;0:00:00
T;792;15:15:04;15:15:04;15:15:04;51,056198;13,733796;91;1;4551,1;1,1;MJ;0;;0:00:00
T;793;15:15:06;15:15:06;15:15:06;51,056176;13,733732;91;9,2;4556,2;5,1;MJ;0;;0:00:00
T;794;15:15:08;15:15:08;15:15:08;51,056134;13,733664;91;12;4562,9;6,7;MJ;0;;0:00:00
T;795;15:15:10;15:15:10;15:15:18;51,056061;13,733625;91;15,4;4571,4;8,5;MJ;1;18;0:00:08
T;800;15:15:20;15:15:20;15:15:20;51,056048;13,73367;91;10,3;4597,5;26,1;MJ;0;;0:00:00
T;801;15:15:22;15:15:22;15:15:22;51,056071;13,733703;91;6,2;4601;3,5;MJ;0;;0:00:00
T;802;15:15:24;15:15:24;15:15:24;51,056063;13,733685;91;2,8;4602,5;1,5;MJ;0;;0:00:00
T;803;15:15:26;15:15:26;15:15:26;51,056054;13,733625;91;7,8;4606,9;4,4;MJ;0;;0:00:00
T;804;15:15:28;15:15:28;15:15:28;51,056057;13,733539;91;10,8;4612,9;6;MJ;0;;0:00:00
T;805;15:15:30;15:15:30;15:15:30;51,056046;13,73344;91;12,6;4619,9;7;MJ;0;;0:00:00
T;806;15:15:32;15:15:32;15:15:32;51,056037;13,733323;91;14,8;4628,2;8,3;MJ;0;;0:00:00
T;807;15:15:33;15:15:33;15:15:33;51,056036;13,733213;91;27,7;4635,9;7,7;MJ;0;;0:00:00
T;808;15:15:36;15:15:36;15:15:36;51,056049;13,733077;91;11,5;4645,6;9,7;MJ;0;;0:00:00
T;809;15:15:38;15:15:38;15:15:38;51,056092;13,732953;91;17,8;4655,5;9,9;MJ;0;;0:00:00
T;810;15:15:40;15:15:40;15:15:40;51,056147;13,732871;91;15,1;4663,9;8,4;MJ;0;;0:00:00
T;811;15:15:42;15:15:42;15:15:42;51,056216;13,732782;90;17,8;4673,8;9,9;MJ;0;;0:00:00
T;812;15:15:44;15:15:44;15:15:44;51,056283;13,73267;90;19,5;4684,6;10,8;MJ;0;;0:00:00
T;813;15:15:46;15:15:46;15:15:46;51,056343;13,732564;90;17,9;4694,6;10;MJ;0;;0:00:00
T;814;15:15:48;15:15:48;15:15:48;51,056393;13,732411;90;21,7;4706,7;12,1;MJ;0;;0:00:00
T;815;15:15:50;15:15:50;15:15:50;51,056449;13,732286;90;19,3;4717,4;10,7;MJ;0;;0:00:00
T;816;15:15:52;15:15:52;15:15:52;51,056504;13,732159;90;19,4;4728,2;10,8;MJ;0;;0:00:00
T;817;15:15:54;15:15:54;15:15:54;51,056569;13,732061;90;17,9;4738,2;10;MJ;0;;0:00:00
T;818;15:15:56;15:15:56;15:15:56;51,056629;13,731987;90;15,2;4746,7;8,5;MJ;0;;0:00:00
T;819;15:15:58;15:15:58;15:15:58;51,056692;13,731927;90;14,7;4754,8;8,1;MJ;0;;0:00:00
T;820;15:16:00;15:16:00;15:16:00;51,056758;13,731862;90;15,5;4763,5;8,7;MJ;0;;0:00:00
T;821;15:16:02;15:16:02;15:16:02;51,05682;13,731805;91;14,3;4771,4;7,9;MJ;0;;0:00:00
T;822;15:16:04;15:16:04;15:16:04;51,056867;13,731827;91;9,8;4776,9;5,5;MJ;0;;0:00:00
T;823;15:16:06;15:16:06;15:16:06;51,056923;13,731934;91;17,5;4786,7;9,8;MJ;0;;0:00:00
T;824;15:16:08;15:16:08;15:16:08;51,056981;13,732112;91;25,2;4800,7;14;MJ;0;;0:00:00
T;825;15:16:10;15:16:10;15:16:10;51,057044;13,732285;91;25,2;4814,7;14;MJ;0;;0:00:00
T;826;15:16:12;15:16:12;15:16:12;51,057109;13,732409;90;20,3;4826;11,3;MJ;0;;0:00:00
T;827;15:16:14;15:16:14;15:16:14;51,057186;13,73249;90;18,5;4836,3;10,3;MJ;0;;0:00:00
T;828;15:16:16;15:16:16;15:16:16;51,057243;13,732585;90;16,5;4845,5;9,2;MJ;0;;0:00:00
T;829;15:16:17;15:16:17;15:16:17;51,057283;13,732619;90;18,2;4850,5;5;MJ;0;;0:00:00
T;830;15:16:20;15:16:20;15:16:20;51,057322;13,732594;90;5,6;4855,2;4,7;MJ;0;;0:00:00
T;831;15:16:22;15:16:22;15:16:22;51,057372;13,732548;90;11,6;4861,6;6,4;MJ;0;;0:00:00
T;832;15:16:24;15:16:24;15:16:24;51,057424;13,732459;90;15,3;4870,2;8,6;MJ;0;;0:00:00
T;833;15:16:26;15:16:26;15:16:26;51,057481;13,732375;90;15,6;4878,8;8,6;MJ;0;;0:00:00
T;834;15:16:28;15:16:28;15:16:28;51,057506;13,732327;90;7,8;4883,2;4,4;MJ;0;;0:00:00
T;835;15:16:32;15:16:32;15:16:32;51,057521;13,732302;90;2,2;4885,6;2,4;MJ;0;;0:00:00
T;836;15:16:34;15:16:33;15:16:35;51,057543;13,732255;90;7,4;4889,7;4,1;MJ;1;19;0:00:02
T;837;15:16:36;15:16:36;15:16:36;51,057585;13,732236;90;8,7;4894,6;4,9;MJ;0;;0:00:00
T;838;15:16:38;15:16:38;15:16:38;51,057639;13,73225;90;11;4900,6;6;MJ;0;;0:00:00
T;839;15:16:40;15:16:40;15:16:40;51,057694;13,73226;90;11,1;4906,8;6,2;MJ;0;;0:00:00
T;840;15:16:42;15:16:42;15:16:42;51,057761;13,732313;90;15;4915,1;8,3;MJ;0;;0:00:00
T;841;15:16:44;15:16:44;15:16:44;51,057837;13,732367;90;16,7;4924,4;9,3;MJ;0;;0:00:00
T;842;15:16:46;15:16:46;15:16:46;51,057917;13,732398;90;16,5;4933,6;9,2;MJ;0;;0:00:00
T;843;15:16:48;15:16:48;15:16:48;51,058013;13,732416;90;19,3;4944,3;10,7;MJ;0;;0:00:00
T;844;15:16:50;15:16:50;15:16:50;51,058087;13,732427;90;14,9;4952,6;8,3;MJ;0;;0:00:00
T;845;15:16:52;15:16:52;15:16:52;51,058154;13,732448;90;13,7;4960,2;7,6;MJ;0;;0:00:00
T;846;15:16:54;15:16:54;15:16:54;51,058198;13,732489;90;10,2;4965,9;5,7;MJ;0;;0:00:00
T;847;15:16:56;15:16:55;15:16:57;51,058217;13,732554;90;9;4970,9;5;MJ;1;20;0:00:02
T;848;15:16:58;15:16:58;15:16:58;51,058214;13,732513;90;5,2;4973,8;2,9;MJ;0;;0:00:00
T;849;15:17:00;15:17:00;15:17:00;51,058222;13,732435;90;9,9;4979,3;5,5;MJ;0;;0:00:00
T;850;15:17:02;15:17:02;15:17:02;51,058241;13,73237;91;9;4984,3;5;MJ;0;;0:00:00
