id;m_id;vehicle_id;time;arrival;departure;lon;lat;speed;distance;distint;stop;bus_stop;stop_id;stop_order;stop_time
1;15061;33436;21:31:08;21:31:08;21:31:08;53,402977;-6,304131;0;0;0;-1;1;7132;0;00:00:00
2;15061;33436;21:31:49;21:31:49;21:31:49;53,402874;-6,302803;13,0047;0,148109081;0,148109081;0;0;7132;;00:00:00
4;15061;33436;21:32:27;21:32:27;21:32:27;53,40134;-6,296813;150,08858;1,130043601;0,833825439;0;0;7132;;00:00:00
5;15061;33436;21:32:48;21:32:48;21:32:48;53,399891;-6,293197;74,25497;1,56319757;0,433153969;0;0;6230;;00:00:00
6;15061;33436;21:33:08;21:33:00;21:33:18;53,399761;-6,292615;0;1,629506136;0,066308566;1;1;6228;1;00:00:18
7;15061;33436;21:33:29;21:33:29;21:33:29;53,399055;-6,290925;34,9119;1,833158907;0,203652772;0;0;6228;;00:00:00
8;15061;33436;21:33:49;21:33:49;21:33:49;53,397812;-6,291617;28,47407;1,991348187;0,15818928;0;0;6228;;00:00:00
9;15061;33436;21:34:08;21:34:08;21:34:08;53,396561;-6,293213;42,7227;2,216829116;0,225480928;0;0;4788;;00:00:00
10;15061;33436;21:34:28;21:34:28;21:34:28;53,39558;-6,291779;34,77369;2,410016271;0,193187155;0;0;4788;;00:00:00
11;15061;33436;21:35:09;21:35:09;21:35:09;53,394772;-6,28992;19,78939;2,6353954;0,225379129;0;0;6273;;00:00:00
12;15061;33436;21:35:27;21:35:27;21:35:27;53,393681;-6,290917;32,86653;2,799728028;0,164332627;0;0;136;;00:00:00
13;15061;33436;21:35:48;21:35:48;21:35:48;53,392361;-6,292652;41,55352;3,042123532;0,242395504;0;0;136;;00:00:00
14;15061;33436;21:36:08;21:36:08;21:36:08;53,391239;-6,294129;37,12194;3,248356514;0,206232982;0;0;137;;00:00:00
15;15061;33436;21:36:29;21:36:29;21:36:29;53,390202;-6,293775;20,88703;3,370197513;0,121840999;0;0;193;;00:00:00
16;15061;33436;21:36:47;21:36:47;21:36:47;53,389767;-6,293508;11,35045;3,426949771;0,056752259;0;0;193;;00:00:00
17;15061;33436;21:37:07;21:37:07;21:37:07;53,390137;-6,289923;72,12477;3,827642922;0,40069315;0;0;138;;00:00:00
18;15061;33436;21:37:28;21:37:28;21:37:28;53,390385;-6,287485;46,70641;4,10009699;0,272454068;0;0;138;;00:00:00
19;15061;33436;21:37:48;21:37:38;21:37:47;53,390114;-6,287035;0;4,158501714;0,058404724;1;1;167;2;00:00:09
20;15061;33436;21:38:07;21:38:07;21:38:07;53,389317;-6,28503;45,45149;4,398384569;0,239882855;0;0;167;;00:00:00
21;15061;33436;21:38:27;21:38:27;21:38:27;53,388721;-6,281878;64,19535;4,755025391;0,356640822;0;0;168;;00:00:00
22;15061;33436;21:38:47;21:38:47;21:38:47;53,388401;-6,280106;36,03443;4,955216649;0,200191258;0;0;168;;00:00:00
23;15061;33436;21:39:08;21:39:08;21:39:08;53,389576;-6,27956;24,69718;5,099283547;0,144066897;0;0;169;;00:00:00
24;15061;33436;21:39:28;21:39:28;21:39:28;53,390575;-6,279699;20,18764;5,21143709;0,112153543;0;0;169;;00:00:00
25;15061;33436;21:39:49;21:39:49;21:39:49;53,390388;-6,278087;0;5,39186084;0,18042375;1;1;141;3;00:00:00
26;15061;33436;21:40:07;21:40:07;21:40:07;53,390293;-6,276675;31,46805;5,5492011;0,15734026;0;0;141;;00:00:00
27;15061;33436;21:40:27;21:40:27;21:40:27;53,39006;-6,273119;71,31613;5,945401813;0,396200714;0;0;142;;00:00:00
28;15061;33436;21:40:48;21:40:48;21:40:48;53,389812;-6,269546;68,26237;6,343598953;0,39819714;0;0;142;;00:00:00
29;15061;33436;21:41:08;21:41:08;21:41:08;53,389282;-6,265615;79,37922;6,784594632;0,440995679;0;0;143;;00:00:00
30;15061;33436;21:41:29;21:41:29;21:41:29;53,388313;-6,26508;21,09853;6,907669403;0,123074771;0;0;143;;00:00:00
31;15061;33436;21:41:47;21:41:47;21:41:47;53,387802;-6,265128;11,41413;6,964740048;0,057070645;0;0;115;;00:00:00
32;15061;33436;21:42:07;21:42:07;21:42:07;53,386398;-6,264981;28,25473;7,121710755;0,156970707;0;0;115;;00:00:00
33;15061;33436;21:42:28;21:42:28;21:42:28;53,385525;-6,264985;16,64129;7,218784945;0,097074189;0;0;115;;00:00:00
34;15061;33436;21:42:48;21:42:48;21:42:48;53,38493;-6,265051;11,98198;7,285351518;0,066566573;0;0;37;;00:00:00
35;15061;33436;21:43:07;21:43:07;21:43:07;53,382629;-6,265532;49,52596;7,546738517;0,261386999;0;0;37;;00:00:00
36;15061;33436;21:43:27;21:43:27;21:43:27;53,380604;-6,265735;40,73357;7,7730361;0,226297583;0;0;38;;00:00:00
