latitude,longitude
51.5636928382432, 5.06188876789496
51.5636523694186, 5.06188162141213
51.5639322717256, 5.06192851644344
51.5636717577136, 5.06188396132767
51.5636422504885, 5.06187921511424
51.5636206213435, 5.06187914467319
51.563601302631, 5.06190181724395
51.5635873534142, 5.06193616913492
51.5635767961735, 5.06197815834865
51.5635671505126, 5.0620449286362
51.5636942370505, 5.0618867297938
51.5636405695376, 5.0618808045492
51.5636085813196, 5.06189297677416
51.5635781962359, 5.06197657093058
